kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 164 : 512 2560 1024 0 0 16 16 0 0 
_1.ptx 163 : 512 5696 0 0 0 0 0 0 0 
_1.ptx 162 : 512 5664 0 0 0 0 0 0 0 
_1.ptx 161 : 512 3616 0 0 0 0 0 0 0 
_1.ptx 158 : 512 3616 0 0 0 0 0 0 0 
_1.ptx 156 : 512 134048 2048 0 0 16 16 0 0 
_1.ptx 155 : 512 5632 0 0 0 0 0 0 0 
_1.ptx 154 : 512 5376 0 0 0 0 0 0 0 
_1.ptx 143 : 512 100864 128 0 0 0 0 0 0 
_1.ptx 167 : 512 3072 0 0 0 0 0 0 0 
_1.ptx 144 : 512 100864 0 0 0 0 0 0 0 
_1.ptx 145 : 512 1536 0 0 0 0 0 0 0 
_1.ptx 146 : 512 3072 0 0 0 0 0 0 0 
_1.ptx 147 : 512 3072 0 0 0 0 0 0 0 
_1.ptx 148 : 512 3072 0 0 0 0 0 0 0 
_1.ptx 149 : 512 8384 0 0 0 0 0 0 0 
_1.ptx 150 : 512 4096 0 0 0 0 0 0 0 
_1.ptx 151 : 512 0 0 0 0 0 0 0 0 
_1.ptx 153 : 512 3968 0 0 0 0 0 0 0 
