kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 141 : 65535 315072 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 127 : 655360 3279200 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 126 : 655360 5244704 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 125 : 655360 3311520 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 124 : 655360 3511040 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 123 : 655360 10695936 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 122 : 655360 9551488 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 121 : 655360 10476032 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 120 : 655360 10476416 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 119 : 655360 9482848 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 118 : 655360 9321024 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 97 : 393216 3066383 0 0 0 0 0 0 29042 
bfs.1.sm_30.ptx 96 : 393216 3502147 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 95 : 393216 4140171 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 94 : 393216 4027314 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 93 : 393216 4050879 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 90 : 126844 11432860 0 0 0 110115 48745 0 0 
bfs.1.sm_30.ptx 89 : 126844 11703677 0 0 0 110115 48745 0 0 
bfs.1.sm_30.ptx 88 : 126844 3735001 0 0 0 126762 48745 0 0 
bfs.1.sm_30.ptx 87 : 126844 957771 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 86 : 126844 1605194 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 85 : 126844 3621860 0 0 0 126815 48745 0 0 
bfs.1.sm_30.ptx 84 : 126844 1491277 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 83 : 126844 1384316 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 150 : 655360 3277088 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 53 : 65536 332296 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 100 : 655360 3287456 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 52 : 65536 333734 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 147 : 65535 132538 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 50 : 655360 2959456 0 0 0 0 0 0 8358 
bfs.1.sm_30.ptx 146 : 65535 327675 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 49 : 655360 3294752 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 145 : 65535 141809 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 48 : 655360 114456192 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 144 : 65535 327677 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 47 : 655360 5242880 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 143 : 65535 171018 0 0 0 8357 8357 0 0 
bfs.1.sm_30.ptx 46 : 655360 3276800 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 142 : 65535 525940 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 45 : 655360 3276928 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 140 : 65535 329162 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 43 : 655360 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 139 : 65535 540770 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 42 : 655360 3280928 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 132 : 655360 5243904 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 35 : 655360 10485760 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 82 : 126844 1330489 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 131 : 655360 3276864 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 34 : 655360 11143360 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 81 : 126844 24879319 0 0 0 93099 48745 0 0 
bfs.1.sm_30.ptx 130 : 655360 3276800 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 33 : 655360 11634144 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 54 : 65536 190944 0 0 0 8358 8358 0 0 
bfs.1.sm_30.ptx 128 : 655360 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 31 : 655360 20046432 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 78 : 393216 3243388 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 55 : 65536 584566 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 32 : 655360 20026976 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 79 : 393216 2633907 0 0 0 0 0 0 30393 
bfs.1.sm_30.ptx 133 : 655360 113732736 0 0 0 20480 20480 0 0 
bfs.1.sm_30.ptx 36 : 655360 10485760 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 134 : 655360 3319488 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 37 : 655360 10462592 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 135 : 655360 2990664 0 0 0 0 0 0 8357 
bfs.1.sm_30.ptx 38 : 655360 16080800 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 39 : 655360 3542752 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 137 : 65535 346512 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 40 : 655360 3321984 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 138 : 65535 331259 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 41 : 655360 5244480 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 56 : 65536 607444 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 57 : 65536 980186 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 58 : 65536 28112789 0 0 0 38821 8358 0 0 
bfs.1.sm_30.ptx 59 : 65536 775709 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 60 : 65536 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 62 : 65536 893152 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 63 : 65536 818684 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 64 : 65536 878500 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 65 : 65536 1016679 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 66 : 65536 1867556 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 67 : 65536 9020107 0 0 0 38821 8358 0 0 
bfs.1.sm_30.ptx 68 : 65536 1046148 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 69 : 65536 1192785 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 70 : 65536 992663 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 71 : 65536 1146271 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 74 : 393216 136528299 0 0 0 367332 73417 0 0 
bfs.1.sm_30.ptx 75 : 393216 3437951 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 76 : 393216 5180018 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 77 : 393216 203950420 0 0 0 392389 73417 0 0 
