kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 160 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 208 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 4432 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 3824 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 8388608 42143936 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 18304 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 304 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 8388608 42653904 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 8388608 44848992 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 8388608 43683968 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 8388608 43791360 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 8388608 36797440 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 199 : 8388608 44079872 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 8388608 52227392 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 8388608 102122752 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 8388608 44415840 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 8388608 1130892064 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 194 : 8388608 43546784 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 8388608 85379200 0 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 192 : 8388608 101833216 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 8388608 43464960 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 8388608 91914048 0 0 0 786432 262144 0 0 
backprop.1.sm_30.ptx 189 : 8388608 35819104 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 188 : 8388608 44102880 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 8388608 102606560 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 8388608 45299104 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 8388608 5633864384 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 184 : 8388608 68909312 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 8388608 52082656 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 8388608 102012064 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 8388608 44681216 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 8388608 5684884928 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 179 : 8388608 69913248 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 8388608 69886848 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 8388608 44806720 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 8388608 46081856 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 8388608 4426806176 2097184 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 174 : 8388608 68283264 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 8388608 68191520 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 8388608 43630240 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 8388608 102519808 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 8388608 43845696 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 8388608 106695936 96 0 0 786432 262144 0 0 
