kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 176 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 4448 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 3008 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 8388608 42292224 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 11328 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 304 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 8388608 42787984 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 8388608 45258976 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 8388608 44061632 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 8388608 44295872 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 8388608 41733120 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 199 : 8388608 44552896 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 8388608 52747328 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 8388608 102595904 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 8388608 45049024 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 8388608 837247392 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 194 : 8388608 44201024 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 8388608 90654848 0 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 192 : 8388608 102564224 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 8388608 44153184 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 8388608 98632000 0 0 0 786432 262144 0 0 
backprop.1.sm_30.ptx 189 : 8388608 40899328 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 188 : 8388608 44805472 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 8388608 103415392 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 8388608 46249632 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 8388608 4315862688 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 184 : 8388608 69181472 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 8388608 52512064 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 8388608 102537184 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 8388608 45355776 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 8388608 4390043232 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 179 : 8388608 70292640 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 8388608 69954624 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 8388608 44859808 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 8388608 46816128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 8388608 3594950944 2097184 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 174 : 8388608 68358720 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 8388608 68356224 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 8388608 43789408 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 8388608 102725824 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 8388608 43753792 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 8388608 109162176 96 0 0 786432 262144 0 0 
