kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 176 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 2352 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 3872 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 1048576 5268864 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 9504 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 2688 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 1048576 5346656 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 1048576 5609504 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 1048576 5497856 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 1048576 5901536 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 1048576 7731040 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 199 : 1048576 5509632 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 1048576 6529088 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 1048576 12993408 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 1048576 5669664 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 1048576 150528448 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 194 : 1048576 5888224 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 1048576 14298560 0 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 192 : 1048576 13215008 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 1048576 5739648 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 1048576 16680992 0 0 0 98304 32768 0 0 
backprop.1.sm_30.ptx 189 : 1048576 7501600 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 188 : 1048576 5934720 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 1048576 13245440 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 1048576 5979456 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 1048576 583731840 2724704 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 184 : 1048576 8757568 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 1048576 6503072 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 1048576 12810112 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 1048576 5543136 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 1048576 612208640 4456480 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 179 : 1048576 9051680 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 1048576 8996192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 1048576 5873472 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 1048576 6021760 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 1048576 490149984 262176 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 174 : 1048576 8580256 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 1048576 8633280 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 1048576 5545504 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 1048576 12997440 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 1048576 5663616 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 1048576 28580896 96 0 0 98304 32768 0 0 
