kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 2496 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 1048576 5505920 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 6112 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 672 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 1048576 5546768 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 1048576 5720544 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 1048576 5707584 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 1048576 6556416 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 1048576 11452928 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 199 : 1048576 5758912 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 1048576 6778752 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 1048576 13519104 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 1048576 5849024 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 1048576 31429248 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 194 : 1048576 6350240 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 1048576 19351008 0 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 192 : 1048576 14421760 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 1048576 6194912 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 1048576 23008000 0 0 0 98304 32768 0 0 
backprop.1.sm_30.ptx 189 : 1048576 11374528 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 188 : 1048576 6585696 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 1048576 14159360 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 1048576 6749408 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 1048576 509163040 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 184 : 1048576 8806912 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 1048576 6507520 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 1048576 12912800 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 1048576 5593152 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 1048576 491504832 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 179 : 1048576 9104480 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 1048576 9078144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 1048576 5879552 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 1048576 6018528 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 1048576 449306080 0 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 174 : 1048576 8567904 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 1048576 8632480 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 1048576 5597248 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 1048576 13047840 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 1048576 5681344 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 1048576 20827808 0 0 0 98304 32768 0 0 
