kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 141 : 999999 2813328 0 0 0 126183 126183 0 0 
bfs.1.sm_30.ptx 127 : 12005376 60961152 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 126 : 12005376 97537472 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 125 : 12005376 61224992 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 124 : 12005376 62725088 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 123 : 12005376 148142816 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 122 : 12005376 176901664 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 121 : 12005376 182327456 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 120 : 12005376 180618752 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 119 : 12005376 143986336 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 118 : 12005376 136561888 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 97 : 5999970 25939197 0 0 0 0 0 0 399358 
bfs.1.sm_30.ptx 96 : 5999970 31181077 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 95 : 5999970 48549094 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 94 : 5999970 48885650 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 93 : 5999970 49055973 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 90 : 1930703 519167419 1568 0 0 1702189 699737 0 0 
bfs.1.sm_30.ptx 89 : 1930703 519034699 6773504 0 0 1702189 699737 0 0 
bfs.1.sm_30.ptx 88 : 1930703 8052908 0 0 0 1491027 699737 0 0 
bfs.1.sm_30.ptx 87 : 1930703 9816933 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 86 : 1930703 15940823 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 85 : 1930703 7948540 0 0 0 1750183 699737 0 0 
bfs.1.sm_30.ptx 84 : 1930703 15681368 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 83 : 1930703 15651665 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 150 : 12005376 65273024 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 53 : 1000000 5351509 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 100 : 12005376 63868416 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 52 : 1000000 5223372 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 147 : 999999 2886524 0 0 0 126183 126183 0 0 
bfs.1.sm_30.ptx 50 : 12000000 58348600 0 0 0 0 0 0 126184 
bfs.1.sm_30.ptx 146 : 999999 5189880 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 49 : 12000000 85934144 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 145 : 999999 3204339 0 0 0 126183 126183 0 0 
bfs.1.sm_30.ptx 48 : 12000000 4434687744 5973440 0 0 375000 375000 0 0 
bfs.1.sm_30.ptx 144 : 999999 5201669 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 47 : 12000000 99002464 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 143 : 999999 2988814 0 0 0 126183 126183 0 0 
bfs.1.sm_30.ptx 46 : 12000000 76685440 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 142 : 999999 8186155 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 45 : 12000000 60503904 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 140 : 999999 5099913 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 43 : 12005376 27104 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 139 : 999999 8121355 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 42 : 12005376 60945312 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 132 : 12000000 98040448 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 35 : 12005376 189740928 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 82 : 1930703 15799253 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 131 : 12000000 67931424 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 34 : 12005376 188347328 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 81 : 1930703 1221197311 10425248 0 0 1401930 699737 0 0 
bfs.1.sm_30.ptx 130 : 12000000 60288864 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 33 : 12005376 188569120 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 54 : 1000000 7081457 0 0 0 126184 126184 0 0 
bfs.1.sm_30.ptx 128 : 12005376 26880 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 31 : 12005376 177466144 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 78 : 5999970 31226961 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 55 : 1000000 8486780 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 32 : 12005376 184165088 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 79 : 5999970 20763055 0 0 0 0 0 0 448935 
bfs.1.sm_30.ptx 133 : 12000000 8026765568 5066368 0 0 375000 375000 0 0 
bfs.1.sm_30.ptx 36 : 12005376 190038688 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 134 : 12000000 76061440 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 37 : 12005376 188277408 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 135 : 12000000 57682013 0 0 0 0 0 0 126183 
bfs.1.sm_30.ptx 38 : 12005376 175414464 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 39 : 12005376 65070944 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 137 : 999999 5073394 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 40 : 12005376 63114112 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 138 : 999999 5066487 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 41 : 12005376 100294336 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 56 : 1000000 8521042 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 57 : 1000000 8985810 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 58 : 1000000 1270876545 18300704 0 0 573205 126184 0 0 
bfs.1.sm_30.ptx 59 : 1000000 5565272 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 60 : 1000000 0 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 62 : 1000000 5257196 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 63 : 1000000 5048743 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 64 : 1000000 5136592 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 65 : 1000000 8030247 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 66 : 1000000 8228182 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 67 : 1000000 15909264 0 0 0 573205 126184 0 0 
bfs.1.sm_30.ptx 68 : 1000000 8175273 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 69 : 1000000 8182436 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 70 : 1000000 5183103 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 71 : 1000000 5015431 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 74 : 5999970 6023842496 52023680 0 0 5595611 1042790 0 0 
bfs.1.sm_30.ptx 75 : 5999970 31145202 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 76 : 5999970 49160155 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 77 : 5999970 5598479017 6023840 0 0 4312540 1042790 0 0 
