kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 176 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 4448 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 3184 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 8388608 42010080 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 24352 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 8388608 42426512 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 8388608 43771072 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 8388608 43059936 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 8388608 43453344 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 8388608 33194912 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 199 : 8388608 43190336 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 8388608 51447072 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 8388608 101418432 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 8388608 43295616 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 8388608 1317097120 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 194 : 8388608 42719936 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 8388608 80480992 0 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 192 : 8388608 101160320 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 8388608 42621024 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 8388608 85288480 0 0 0 786432 262144 0 0 
backprop.1.sm_30.ptx 189 : 8388608 30799136 0 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 188 : 8388608 43252288 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 8388608 101703456 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 8388608 43674880 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 8388608 9679434784 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 184 : 8388608 68497344 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 8388608 51486016 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 8388608 101453792 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 8388608 43466816 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 8388608 10023864096 35651616 0 0 1310720 262144 0 0 
backprop.1.sm_30.ptx 179 : 8388608 69043872 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 8388608 69170944 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 8388608 44238240 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 8388608 44731456 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 8388608 8481441440 2097184 0 0 327680 262144 0 0 
backprop.1.sm_30.ptx 174 : 8388608 67899680 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 8388608 67977408 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 8388608 43259200 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 8388608 102162496 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 8388608 43471040 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 8388608 153712192 96 0 0 786432 262144 0 0 
