kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop.1.sm_30.ptx 228 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 227 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 226 : 16 144 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 225 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 224 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 223 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 222 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 221 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 220 : 16 32 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 219 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 218 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 217 : 16 96 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 216 : 16 4368 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 215 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 214 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 213 : 16 192 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 212 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 231 : 1048576 5253248 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 211 : 16 18784 64 0 0 3 1 0 0 
backprop.1.sm_30.ptx 210 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 209 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 208 : 16 80 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 207 : 16 144 0 0 0 3 1 0 0 
backprop.1.sm_30.ptx 206 : 16 128 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 204 : 1048576 5325616 0 0 0 0 0 0 1 
backprop.1.sm_30.ptx 203 : 1048576 5474464 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 202 : 1048576 5474528 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 201 : 1048576 6534080 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 200 : 1048576 9980256 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 199 : 1048576 5340064 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 198 : 1048576 6388672 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 197 : 1048576 12657696 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 196 : 1048576 5349504 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 195 : 1048576 231969408 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 194 : 1048576 5317824 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 193 : 1048576 11303168 0 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 192 : 1048576 12703104 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 191 : 1048576 5300256 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 190 : 1048576 12276800 0 0 0 98304 32768 0 0 
backprop.1.sm_30.ptx 189 : 1048576 4567200 0 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 188 : 1048576 5340640 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 187 : 1048576 12691328 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 186 : 1048576 5376288 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 185 : 1048576 1213737504 4444320 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 184 : 1048576 8885088 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 183 : 1048576 6459168 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 182 : 1048576 12807648 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 181 : 1048576 5309152 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 180 : 1048576 1079463296 4456480 0 0 163840 32768 0 0 
backprop.1.sm_30.ptx 179 : 1048576 9304928 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 178 : 1048576 9290944 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 177 : 1048576 6155808 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 176 : 1048576 6264384 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 175 : 1048576 792055200 262176 0 0 40960 32768 0 0 
backprop.1.sm_30.ptx 174 : 1048576 8647232 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 173 : 1048576 8777952 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 172 : 1048576 5704768 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 171 : 1048576 13285248 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 170 : 1048576 5800896 0 0 0 0 0 0 0 
backprop.1.sm_30.ptx 169 : 1048576 55032256 96 0 0 98304 32768 0 0 
